question,answer
Khoa Phục hồi chức năng làm việc khi nào?,"Khoa Phục hồi chức năng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Nhi không?,"Có, bệnh viện có chuyên khoa Nhi."
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Ngoại.
Khoa Ngoại làm việc khi nào?,"Khoa Ngoại làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Thần kinh là bao nhiêu?,Chi phí khám ở khoa Thần kinh phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
"Tôi bị đau họng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
Bệnh viện có khoa Tai Mũi Họng không?,"Có, bệnh viện có chuyên khoa Tai Mũi Họng."
Bệnh viện có khoa Y học cổ truyền không?,"Có, bệnh viện có chuyên khoa Y học cổ truyền."
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Tim mạch là bao nhiêu?,Chi phí khám ở khoa Tim mạch phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tai Mũi Họng để được bác sĩ thăm khám.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Bệnh viện có khoa Thần kinh không?,"Có, bệnh viện có chuyên khoa Thần kinh."
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
Tôi có thể đặt lịch khám Răng Hàm Mặt ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Răng Hàm Mặt qua website hoặc tổng đài.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Sản.
Triệu chứng phát ban có nguy hiểm không?,Triệu chứng phát ban có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Hô hấp để được bác sĩ thăm khám.
Tôi có thể đặt lịch khám Da liễu ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Da liễu qua website hoặc tổng đài.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
Khoa Da liễu làm việc khi nào?,"Khoa Da liễu làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Thần kinh làm việc khi nào?,"Khoa Thần kinh làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Tôi cần tư vấn về viêm khớp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm khớp.
Triệu chứng đau ngực có nguy hiểm không?,Triệu chứng đau ngực có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị phát ban, tiêu chảy, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng phát ban có nguy hiểm không?,Triệu chứng phát ban có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau bụng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Hô hấp để được bác sĩ thăm khám.
"Tôi bị đau lưng, sưng khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
"Tôi bị chán ăn, phát ban, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng đau lưng có nguy hiểm không?,Triệu chứng đau lưng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau mắt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tai Mũi Họng để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về viêm da,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Da liễu.
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
"Tôi bị mệt mỏi, phát ban, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về trầm cảm,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Ngoại.
Triệu chứng đau họng có nguy hiểm không?,Triệu chứng đau họng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Bệnh viện có khoa Răng Hàm Mặt không?,"Có, bệnh viện có chuyên khoa Răng Hàm Mặt."
Khoa Da liễu làm việc khi nào?,"Khoa Da liễu làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
"Tôi bị mẩn đỏ, sốt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về đau dạ dày,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
Triệu chứng chán ăn có nguy hiểm không?,Triệu chứng chán ăn có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi muốn gặp bác sĩ chuyên về đau dạ dày,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Nhi.
Triệu chứng sưng khớp có nguy hiểm không?,Triệu chứng sưng khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị buồn nôn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Da liễu để được bác sĩ thăm khám.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Hô hấp.
Tôi có thể đặt lịch khám Y học cổ truyền ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Y học cổ truyền qua website hoặc tổng đài.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Da liễu để được bác sĩ thăm khám.
"Tôi bị chán ăn, sốt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Khoa Hô hấp làm việc khi nào?,"Khoa Hô hấp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Tai Mũi Họng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tai Mũi Họng qua website hoặc tổng đài.
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
"Tôi bị ngứa, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Khoa Ngoại làm việc khi nào?,"Khoa Ngoại làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Tim mạch không?,"Có, bệnh viện có chuyên khoa Tim mạch."
Tôi có thể đặt lịch khám Nội ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Nội qua website hoặc tổng đài.
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
"Tôi bị ho, tiêu chảy, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Mắt không?,"Có, bệnh viện có chuyên khoa Mắt."
Tôi có thể đặt lịch khám Tim mạch ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tim mạch qua website hoặc tổng đài.
Tôi có thể đặt lịch khám Tai Mũi Họng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tai Mũi Họng qua website hoặc tổng đài.
Bệnh viện có khoa Tai Mũi Họng không?,"Có, bệnh viện có chuyên khoa Tai Mũi Họng."
Bệnh viện có khoa Răng Hàm Mặt không?,"Có, bệnh viện có chuyên khoa Răng Hàm Mặt."
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi muốn gặp bác sĩ chuyên về viêm da,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tiêu hóa.
"Tôi bị khó thở, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
Tôi có thể đặt lịch khám Ngoại ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Ngoại qua website hoặc tổng đài.
Giá khám ở khoa Sản là bao nhiêu?,Chi phí khám ở khoa Sản phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
"Tôi bị đau khớp, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Phục hồi chức năng để được bác sĩ thăm khám.
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Cơ xương khớp không?,"Có, bệnh viện có chuyên khoa Cơ xương khớp."
Tôi muốn gặp bác sĩ chuyên về viêm phổi,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tim mạch.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
"Tôi bị sụt cân, khó thở, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Giá khám ở khoa Tai Mũi Họng là bao nhiêu?,Chi phí khám ở khoa Tai Mũi Họng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị tiêu chảy, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
"Tôi bị tiêu chảy, sưng khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Triệu chứng tiêu chảy có nguy hiểm không?,Triệu chứng tiêu chảy có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Da liễu.
Giá khám ở khoa Cơ xương khớp là bao nhiêu?,Chi phí khám ở khoa Cơ xương khớp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Cơ xương khớp làm việc khi nào?,"Khoa Cơ xương khớp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Triệu chứng mẩn đỏ có nguy hiểm không?,Triệu chứng mẩn đỏ có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị đau bụng, sưng khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng ngứa có nguy hiểm không?,Triệu chứng ngứa có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau đầu, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Răng Hàm Mặt để được bác sĩ thăm khám.
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Triệu chứng sưng khớp có nguy hiểm không?,Triệu chứng sưng khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Sản ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Sản qua website hoặc tổng đài.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Ngoại.
Khoa Hô hấp làm việc khi nào?,"Khoa Hô hấp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Phục hồi chức năng là bao nhiêu?,Chi phí khám ở khoa Phục hồi chức năng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Triệu chứng đau khớp có nguy hiểm không?,Triệu chứng đau khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Tôi cần tư vấn về viêm phổi,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm phổi.
Tôi muốn gặp bác sĩ chuyên về viêm khớp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Nội.
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị sưng khớp, khó thở, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Khoa Y học cổ truyền làm việc khi nào?,"Khoa Y học cổ truyền làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị ngứa, đau bụng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Triệu chứng buồn nôn có nguy hiểm không?,Triệu chứng buồn nôn có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Hô hấp để được bác sĩ thăm khám.
Giá khám ở khoa Thần kinh là bao nhiêu?,Chi phí khám ở khoa Thần kinh phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
Tôi muốn gặp bác sĩ chuyên về trầm cảm,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Da liễu.
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị ngứa, sưng khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Khoa Răng Hàm Mặt làm việc khi nào?,"Khoa Răng Hàm Mặt làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi cần tư vấn về viêm da,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm da.
Triệu chứng chóng mặt có nguy hiểm không?,Triệu chứng chóng mặt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Giá khám ở khoa Cơ xương khớp là bao nhiêu?,Chi phí khám ở khoa Cơ xương khớp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Triệu chứng đau ngực có nguy hiểm không?,Triệu chứng đau ngực có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi muốn gặp bác sĩ chuyên về trầm cảm,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Hô hấp.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
Triệu chứng đau lưng có nguy hiểm không?,Triệu chứng đau lưng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
Khoa Nhi làm việc khi nào?,"Khoa Nhi làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị chán ăn, buồn nôn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Mắt.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Triệu chứng tiêu chảy có nguy hiểm không?,Triệu chứng tiêu chảy có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị chóng mặt, sốt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Cơ xương khớp không?,"Có, bệnh viện có chuyên khoa Cơ xương khớp."
Dịch vụ chụp X-quang có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ chụp X-quang."
Tôi muốn gặp bác sĩ chuyên về viêm khớp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Nội.
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Bệnh viện có khoa Y học cổ truyền không?,"Có, bệnh viện có chuyên khoa Y học cổ truyền."
Bệnh viện có khoa Nhi không?,"Có, bệnh viện có chuyên khoa Nhi."
"Tôi bị đau đầu, đau mắt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị đau bụng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Răng Hàm Mặt để được bác sĩ thăm khám.
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
Giá khám ở khoa Tiêu hóa là bao nhiêu?,Chi phí khám ở khoa Tiêu hóa phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau lưng, chóng mặt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng khó thở có nguy hiểm không?,Triệu chứng khó thở có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau mắt, đau đầu, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Giá khám ở khoa Tiêu hóa là bao nhiêu?,Chi phí khám ở khoa Tiêu hóa phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi có thể đặt lịch khám Tai Mũi Họng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tai Mũi Họng qua website hoặc tổng đài.
"Tôi bị đau đầu, khó thở, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Giá khám ở khoa Sản là bao nhiêu?,Chi phí khám ở khoa Sản phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị chán ăn, đau đầu, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Sản.
Giá khám ở khoa Tiêu hóa là bao nhiêu?,Chi phí khám ở khoa Tiêu hóa phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Y học cổ truyền làm việc khi nào?,"Khoa Y học cổ truyền làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Thần kinh là bao nhiêu?,Chi phí khám ở khoa Thần kinh phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Nội làm việc khi nào?,"Khoa Nội làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau ngực, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Da liễu để được bác sĩ thăm khám.
Giá khám ở khoa Tiêu hóa là bao nhiêu?,Chi phí khám ở khoa Tiêu hóa phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Phục hồi chức năng.
Tôi muốn gặp bác sĩ chuyên về viêm da,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Phục hồi chức năng.
Tôi cần tư vấn về viêm phổi,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm phổi.
"Tôi bị ngứa, chán ăn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị sốt, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị sụt cân, chóng mặt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
"Tôi bị sụt cân, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tiêu hóa để được bác sĩ thăm khám.
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Tôi có thể đặt lịch khám Y học cổ truyền ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Y học cổ truyền qua website hoặc tổng đài.
Bệnh viện có khoa Y học cổ truyền không?,"Có, bệnh viện có chuyên khoa Y học cổ truyền."
"Tôi bị mẩn đỏ, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Nhi.
Bệnh viện có khoa Tiêu hóa không?,"Có, bệnh viện có chuyên khoa Tiêu hóa."
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
Bệnh viện có khoa Tai Mũi Họng không?,"Có, bệnh viện có chuyên khoa Tai Mũi Họng."
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Tôi muốn gặp bác sĩ chuyên về viêm gan,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Y học cổ truyền.
Tôi có thể đặt lịch khám Tiêu hóa ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tiêu hóa qua website hoặc tổng đài.
"Tôi bị tiêu chảy, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
Bệnh viện có khoa Nội không?,"Có, bệnh viện có chuyên khoa Nội."
Bệnh viện có khoa Tiêu hóa không?,"Có, bệnh viện có chuyên khoa Tiêu hóa."
Triệu chứng đau lưng có nguy hiểm không?,Triệu chứng đau lưng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị chóng mặt, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị mệt mỏi, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Y học cổ truyền để được bác sĩ thăm khám.
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Thần kinh là bao nhiêu?,Chi phí khám ở khoa Thần kinh phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tim mạch để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
Bệnh viện có khoa Cơ xương khớp không?,"Có, bệnh viện có chuyên khoa Cơ xương khớp."
Tôi cần tư vấn về suy tim,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về suy tim.
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
Tôi muốn gặp bác sĩ chuyên về viêm phổi,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Mắt.
"Tôi bị mẩn đỏ, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tim mạch để được bác sĩ thăm khám.
Giá khám ở khoa Thần kinh là bao nhiêu?,Chi phí khám ở khoa Thần kinh phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Sản là bao nhiêu?,Chi phí khám ở khoa Sản phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
